no,name,url,qty,price_idr,subtotal_idr
1,Seeed Studio XIAO ESP32-C6,https://shopee.co.id/Pre-Soldered-Seeeduino-Xiao-ESP32-C3-C6-S3-nRF52840-Mini-Development-Board-wifi-module-bluetooth5.0-i.1733652584.44605902551,1,125000,125000
2,OLED 1.3 inch 4-pin I2C,https://shopee.co.id/Oled-1.3-inch-White-128X64-LCD-LED-Display-I2C-SPI-i.29614947.15299206834,1,60000,60000
3,LiPo Battery 1000mAh 3.7V,https://shopee.co.id/Baterai-lithium-polimer-1000mah-523450-1500mah-803450-i.6828741.7404713970,1,70000,70000
4,Push Button Tactile Switch 6x6mm,https://shopee.co.id/Tombol-Reset-saklar-Tactile-Push-Button-Micro-Switch-6x6-mm-4Pin-DIP-i.7849796.24862806415,3,4000,12000
5,Potentiometer RV09 20k Mono,https://shopee.co.id/Potentiometer-Potensiometer-RV09-potensio-Mono-1-2-5-10-20-50-100-K-i.48406045.22301052102,1,8000,8000
6,TTP223 Capacitive Touch Sensor,https://shopee.co.id/MERAH-Saklar-Sentuh-Touch-Sensor-Capacitive-TTP223-Switch-Arduino-i.6406600.1153531563,1,2000,2000
7,HLK-ZW101 Capacitive Fingerprint Sensor,https://shopee.co.id/modul-fingerprint-capacitive-fingerprint-sensor-modul-kapasitas-50-profil-sidik-jari-support-arduino-esp32-i.108345327.28986833146,1,120000,120000
8,Male Pin Header 2.54mm (1x40),https://shopee.co.id/PIN-HEADER-MALE-STRIP-SINGLE-ROW-1X40-2.54MM-BLACK-HITAM-FOR-ARDUINO-MINI-NANO-i.62956347.5909650283,1,10000,10000
9,Jumper Cable Female to Female 20cm,https://shopee.co.id/Kabel-Jumper-40PCS-20CM-Male-to-Female-Female-to-Female-Male-to-Male-Dupont-%E2%80%93-Kabel-Koneksi-untuk-Breadboard-i.62956347.1063975553,1,10000,10000
10,Passive Piezoelectric Buzzer,https://shopee.co.id/Passive-Buzzer-3-12V-16-Ohm-BAGUS-12X8.5-mm-Pasive-Buzer-Pasif-Buser-i.193335132.52301383875,1,2000,2000
11,Female Pin Header 2.54mm (1x40),https://shopee.co.id/1x40p-Female-Pin-Header-2.54mm-40-Pin-Single-Row-PCB-Connector-Betina-i.6406600.1153531501,1,10000,10000
12,Connector JST-XH 2.54mm 2P Housing,https://shopee.co.id/CONNECTOR-XH2.54-4P-PIN-FEMALE-20CM-CABLE-JST-2.54MM-SOCKET-CON-STOCKO-i.62956347.23700082559,1,10000,10000
13,JLCPCB Manufacturing Service,https://jlcpcb.com,1,65000,65000
14,3D Printed Case (Custom),https://shopee.co.id/Jasa-Cetak-3D-Print-PLA-PLA-PETG-ABS-TPU-Nylon-Carbon-Fiber-Multicolor-Polycarbonate-Resin-i.81557195.43001716747,1,40000,40000
,,,Total,,544000
